File Name,Time Stamp,Storage Group,Sample,Day of Experiment,Ripening Index Classification
T20_d01_001_a_1,2022-04-04 18:56,T20,1,1,1
T20_d01_001_b_1,2022-04-04 18:57,T20,1,1,1
T20_d02_001_a_1,2022-04-05 14:16,T20,1,2,1
T20_d02_001_b_1,2022-04-05 14:16,T20,1,2,1
T20_d03_001_a_2,2022-04-06 15:08,T20,1,3,2
T20_d03_001_b_2,2022-04-06 15:09,T20,1,3,2
T20_d04_001_a_2,2022-04-07 14:33,T20,1,4,2
T20_d04_001_b_2,2022-04-07 14:33,T20,1,4,2
T20_d05_001_a_3,2022-04-08 15:58,T20,1,5,3
T20_d05_001_b_3,2022-04-08 15:58,T20,1,5,3
T20_d06_001_a_4,2022-04-09 15:40,T20,1,6,4
T20_d06_001_b_4,2022-04-09 15:41,T20,1,6,4
T20_d07_001_a_4,2022-04-10 14:34,T20,1,7,4
T20_d07_001_b_4,2022-04-10 14:34,T20,1,7,4
T20_d08_001_a_4,2022-04-11 15:28,T20,1,8,4
T20_d08_001_b_4,2022-04-11 15:28,T20,1,8,4
T20_d09_001_a_5,2022-04-12 14:44,T20,1,9,5
T20_d09_001_b_5,2022-04-12 14:55,T20,1,9,5
T20_d10_001_a_5,2022-04-13 13:26,T20,1,10,5
T20_d10_001_b_5,2022-04-13 13:26,T20,1,10,5
T20_d11_001_a_5,2022-04-14 16:33,T20,1,11,5
T20_d11_001_b_5,2022-04-14 16:33,T20,1,11,5
T10_d01_002_a_1,2022-04-04 11:00,T10,2,1,1
T10_d01_002_b_1,2022-04-04 11:00,T10,2,1,1
T10_d02_002_a_1,2022-04-05 12:10,T10,2,2,1
T10_d02_002_b_1,2022-04-05 12:10,T10,2,2,1
T10_d03_002_a_1,2022-04-06 12:10,T10,2,3,1
T10_d03_002_b_1,2022-04-06 12:10,T10,2,3,1
T10_d04_002_a_1,2022-04-07 11:39,T10,2,4,1
T10_d04_002_b_1,2022-04-07 11:40,T10,2,4,1
T10_d05_002_a_1,2022-04-08 12:29,T10,2,5,1
T10_d05_002_b_1,2022-04-08 12:29,T10,2,5,1
T10_d06_002_a_1,2022-04-09 12:41,T10,2,6,1
T10_d06_002_b_1,2022-04-09 12:41,T10,2,6,1
T10_d07_002_a_1,2022-04-10 12:09,T10,2,7,1
T10_d07_002_b_1,2022-04-10 12:09,T10,2,7,1
T10_d08_002_a_2,2022-04-11 12:11,T10,2,8,2
T10_d08_002_b_2,2022-04-11 12:12,T10,2,8,2
T10_d09_002_a_2,2022-04-12 12:41,T10,2,9,2
T10_d09_002_b_2,2022-04-12 12:41,T10,2,9,2
T10_d10_002_a_2,2022-04-13 12:09,T10,2,10,2
T10_d10_002_b_2,2022-04-13 12:09,T10,2,10,2
T10_d11_002_a_3,2022-04-14 13:05,T10,2,11,3
T10_d11_002_b_3,2022-04-14 13:05,T10,2,11,3
T10_d12_002_a_3,2022-04-15 17:00,T10,2,12,3
T10_d12_002_b_3,2022-04-15 17:00,T10,2,12,3
T10_d13_002_a_3,2022-04-16 13:50,T10,2,13,3
T10_d13_002_b_3,2022-04-16 13:50,T10,2,13,3
T10_d14_002_a_4,2022-04-17 15:53,T10,2,14,4
T10_d14_002_b_4,2022-04-17 15:53,T10,2,14,4
T10_d15_002_a_4,2022-04-18 16:00,T10,2,15,4
T10_d15_002_b_4,2022-04-18 16:00,T10,2,15,4
T10_d16_002_a_4,2022-04-19 13:26,T10,2,16,4
T10_d16_002_b_4,2022-04-19 13:26,T10,2,16,4
T10_d17_002_a_4,2022-04-20 13:07,T10,2,17,4
T10_d17_002_b_4,2022-04-20 13:07,T10,2,17,4
T10_d18_002_a_4,2022-04-21 14:18,T10,2,18,4
T10_d18_002_b_4,2022-04-21 14:18,T10,2,18,4
T10_d19_002_a_5,2022-04-22 13:35,T10,2,19,5
T10_d19_002_b_5,2022-04-22 13:35,T10,2,19,5
